fecha,autor,titulo,enlace,fuente_original,enlace_original
2023-03-09,Cynthia López Cabán,Investigan si cientos de agentes recibieron vacunas de Hepatitis B expiradas,https://jayfonseca.com/investigan-si-cientos-de-agentes-recibieron-vacunas-de-hepatitis-b-expiradas/,Cientos de policías recibieron dosis expiradas de vacunas contra la hepatitis B,https://www.wapa.tv/programas/cuartopoder/cientos-de-policias-recibieron-dosis-expiradas-de-vacunas-contra-la-hepatitis-b-_20131122547876.html
2023-03-08,Yennifer Álvarez,Nace organización para ayudar a pagar la defensa de Wanda Vázquez Garced,https://jayfonseca.com/nace-organizacion-para-ayudar-a-pagar-la-defensa-de-wanda-vazquez-garced/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-08,Yennifer Álvarez,Fiscalía Federal no radicará cargos tras acuerdo con Gobierno local para trasladar a santuarios los animales del zoológico de Mayagüez,https://jayfonseca.com/fiscalia-federal-no-radicara-cargos-tras-acuerdo-con-gobierno-local-para-trasladar-a-santuarios-los-animales-del-zoologico-de-mayaguez/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-08,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy miércoles 8 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-miercoles-8-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-08,Yennifer Álvarez,Trio de legisladores del PNP presenta medida para regular el aborto después de las 10 semanas de gestación,https://jayfonseca.com/trio-de-legisladores-del-pnp-presenta-medida-para-regular-el-aborto-despues-de-las-10-semanas-de-gestacion/,Jagual Media es Fuente Original,https://www.camara.pr.gov/team/er-yazzer-morales-diaz/
2023-03-07,Jagual Media,Sobrepasan los 100 tiroteos masivos en lo que va de año en Estados Unidos,https://jayfonseca.com/sobrepasan-los-100-tiroteos-masivos-en-lo-que-va-de-ano-en-estados-unidos/,Axios,https://www.axios.com/2023/03/07/us-surpasses-100-mass-shootings-65-days
2023-03-07,Jagual Media,Alegan Genera PR crea monopolio y refieren contrato a Justicia,https://jayfonseca.com/alegan-genera-pr-crea-monopolio-y-refieren-contrato-a-justicia/,Primera Hora,https://www.primerahora.com/noticias/gobierno-politica/notas/jose-bernardo-marquez-y-luis-raul-torres-refieren-a-justicia-contrato-de-genera-pr/
2023-03-07,Carla Cristina Dávila,Alcalde de Ponce niega vaya a renunciar a su cargo,https://jayfonseca.com/alcalde-de-ponce-niega-vaya-a-renunciar-a-su-cargo/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-07,Cynthia López Cabán,Supremo sostiene multa contra empleado del Fondo por politiquear por Pierluisi en horas laborables,https://jayfonseca.com/supremo-sostiene-multa-contra-empleado-del-fondo-por-politiquear-por-pierluisi-en-horas-laborables/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-07,Cynthia López Cabán,Wanda Vázquez quiere juicio rápido,https://jayfonseca.com/wanda-vazquez-quiere-juicio-rapido/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-07,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy martes 7 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-martes-7-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-07,Jagual Media,Escucha aquí el resumen de Noticias con Calle de hoy martes 7 de marzo de 2023,https://jayfonseca.com/escucha-aqui-el-resumen-de-noticias-con-calle-de-hoy-martes-7-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-07,Jagual Media,Recortes a Medicare Advantage impactarán servicios de salud en la Isla,https://jayfonseca.com/recortes-a-medicare-advantage-impactaran-servicios-de-salud-en-la-isla/,El Nuevo Día,https://www.elnuevodia.com/negocios/consumo/notas/incierto-el-panorama-para-pacientes-y-proveedores-si-se-concreta-el-recorte-en-medicare-advantage/
2023-03-07,Jagual Media,Wanda Vázquez paga multas de $10 mil cada seis meses,https://jayfonseca.com/wanda-vazquez-paga-multas-de-10-mil-cada-seis-meses/,Noticel,https://www.noticel.com/politica/top-stories/20230307/vazquez-garced-acuerda-pagar-10000-cada-6-meses-a-contralor-electoral/
2023-03-07,Jagual Media,Investigan a menor de 11 años armado en escuela en San Juan,https://jayfonseca.com/investigan-a-menor-de-11-anos-armado-en-escuela-en-san-juan/,Primera Hora,https://www.primerahora.com/noticias/policia-tribunales/notas/investigan-a-estudiante-armado-en-escuela-de-san-juan/
2023-03-06,Yennifer Álvarez,Confirman salida del director de PRIDCO,https://jayfonseca.com/confirman-salida-del-director-de-pridco/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2021-08-25,Jagual Media,Comunícate confidencialmente con Jay Fonseca,https://jayfonseca.com/comunicate-confidencialmente-con-jay-fonseca/,Baja Signal aquí ,https://signal.org/install
2023-03-06,Jagual Media,Mitad de la deuda del CRIM no se puede cobrar ,https://jayfonseca.com/mitad-de-la-deuda-del-crim-no-se-puede-cobrar/,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/mitad-de-la-deuda-del-crim-no-es-cobrable/article_20218bb6-bba9-11ed-968e-ef3cf2404b8d.html
2023-03-06,Jagual Media,Violento fin de semana con 7 asesinatos,https://jayfonseca.com/violento-fin-de-semana-con-7-asesinatos/,Metro ,https://www.metro.pr/noticias/2023/03/06/violento-fin-de-semana-deja-el-saldo-de-siete-personas-asesinadas/
2023-03-06,Jagual Media,Solo dos querellas tras aprobación hace seis años de la Ley igual paga por igual trabajo,https://jayfonseca.com/solo-dos-querellas-tras-aprobacion-hace-seis-anos-de-la-ley-igual-paga-por-igual-trabajo/,El Nuevo Día ,https://www.elnuevodia.com/negocios/economia/notas/letra-muerta-la-ley-de-igual-paga-igual-trabajo/
2023-03-06,Jagual Media,Ejecutivo y Legislativo apelarán fallo en contra de la reforma laboral,https://jayfonseca.com/ejecutivo-y-legislativo-apelaran-fallo-en-contra-de-la-reforma-laboral/,El Vocero,https://www.elvocero.com/gobierno/legislatura/se-preparan-para-apelar-fallo-en-contra-de-la-reforma-laboral/article_7d8124c2-bbc4-11ed-bf1f-db000a2588ea.html
2023-03-06,Jagual Media,Escucha el resumen de Noticias con Calle de hoy lunes 6 de marzo de 2023,https://jayfonseca.com/escucha-el-resumen-de-noticias-con-calle-de-hoy-lunes-6-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-06,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy lunes 6 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-lunes-6-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-03,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy viernes 3 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-viernes-3-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-03,Jagual Media,Se cae caso contra Maldonado y Vick por las pruebas fatulas de COVID-19,https://jayfonseca.com/se-cae-caso-contra-maldonado-y-vick-por-las-pruebas-fatulas-de-covid-19/,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20230301/apelativo-desarticula-el-caso-del-fei-por-las-pruebas-covid-fatulas/
2023-03-03,Jagual Media,Venden sin subasta terrenos para desarrollar apartamentos de lujo en el Centro de Convenciones ,https://jayfonseca.com/venden-sin-subasta-terrenos-para-desarrollar-apartamentos-de-lujo-en-el-centro-de-convenciones/,El Nuevo Día ,https://www.elnuevodia.com/negocios/economia/notas/distrito-de-convenciones-vende-parcela-por-6-millones-para-la-construccion-de-un-condominio-de-lujo/
2023-03-03,Jagual Media,Cámara vuelve a citar a Wanda Vázquez,https://jayfonseca.com/camara-vuelve-a-citar-a-wanda-vazquez/,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20230303/fiscalia-federal-establece-beneficios-para-empresas-que-confiesen-crimenes/
2023-03-03,Jagual Media,Facturación estimada atenta contra las pequeñas y medianas empresas,https://jayfonseca.com/facturacion-estimada-atenta-contra-las-pequenas-y-medianas-empresas/,Metro,https://www.metro.pr/noticias/2023/03/03/errores-en-facturacion-estimada-le-cuestan-miles-a-las-pymes/
2023-03-03,Jagual Media,Se filtra cuestionable solicitud de Jenniffer González,https://jayfonseca.com/se-filtra-cuestionable-solicitud-de-jenniffer-gonzalez/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-03,Cynthia López Cabán,Juez federal le baja más duro al exvicealcalde de Trujillo Alto y le echa 30 meses de cárcel,https://jayfonseca.com/juez-federal-le-baja-mas-duro-al-exvicealcalde-de-trujillo-alto-y-le-echa-30-meses-de-carcel/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-03,Yennifer Álvarez,Jueza Swain declara nulas las enmiendas a la reforma laboral,https://jayfonseca.com/jueza-swain-declara-nulas-las-enmiendas-a-la-reforma-laboral/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-02,Cynthia López Cabán,Anthony Pierluisi rechaza su empresa de alquileres a corto plazo se beneficie de relación con su padre,https://jayfonseca.com/anthony-pierluisi-rechaza-su-empresa-de-alquileres-a-corto-plazo-se-beneficie-de-relacion-con-su-padre/,Anthony Pierluisi maneja la mayor cantidad de alquileres a corto plazo en la isla,https://www.wapa.tv/programas/cuartopoder/anthony-pierluisi-maneja-la-mayor-cantidad-de-alquileres-a-corto-plazo-en-la-isla_20131122547453.html
2023-03-02,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy jueves 2 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-jueves-2-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-02,Jagual Media,Buscan atender fraude con compañías de seguro compulsorio,https://jayfonseca.com/buscan-atender-fraude-con-companias-de-seguro-compulsorio/,Noticel,https://www.noticel.com/ahora/gobierno/top-stories/20230302/irregularidades-en-seleccion-de-seguro-responsabilidad-obligatorio/
2023-03-02,Jagual Media,Pierluisi dice que Cámara se equivoca al concluir que contrato de Genera PR es nulo ,https://jayfonseca.com/pierluisi-dice-que-camara-se-equivoca-al-concluir-que-contrato-de-genera-pr-es-nulo/,Noticel,https://www.noticel.com/ahora/gobierno/top-stories/20230301/pierluisi-dice-informe-legislativo-sobre-contrato-de-genera-pr-es-un-error-garrafal/
2023-03-01,Jagual Media,Escucha aquí el resumen de Noticias con Calle de hoy miércoles 1 de marzo de 2023,https://jayfonseca.com/escucha-aqui-el-resumen-de-noticias-con-calle-de-hoy-miercoles-1-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-01,Cynthia López Cabán,Exalcalde de Guaynabo evalúa última oferta de Fiscalía para declararse culpable,https://jayfonseca.com/exalcalde-de-guaynabo-evalua-oferta-de-ultima-hora-para-declararse-culpable/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-01,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy miércoles 1 de marzo de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-miercoles-1-de-marzo-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-01,Jagual Media,Eli Lilly reduce el costo de la insulina y lo limita a $35 por mes,https://jayfonseca.com/eli-lilly-reduce-el-costo-de-la-insulina-y-lo-limita-a-35-por-mes/,CNN,https://edition.cnn.com/2023/03/01/health/eli-lilly-insulin-prices-diabetes/index.html
2023-03-01,Jagual Media,Pierluisi presenta proyecto para reducir tasa contributiva de individuos de 33 a 30%,https://jayfonseca.com/pierluisi-presenta-proyecto-para-reducir-tasa-contributiva-de-individuos-de-33-a-30/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-01,Cynthia López Cabán,Ángel Pérez irá a juicio tras rechazar oferta de Fiscalía Federal,https://jayfonseca.com/angel-perez-ira-a-juicio-tras-rechazar-oferta-de-fiscalia-federal/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-01,Jagual Media,AES fuera de servicio obliga a AEE activar unidades de reserva,https://jayfonseca.com/aes-fuera-de-servicio-obliga-a-aee-activar-unidades-de-reserva/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-03-01,Jagual Media,Informe cameral concluye que el contrato de Genera PR es nulo y que la empresa no tiene experiencia ,https://jayfonseca.com/informe-cameral-concluye-que-el-contrato-de-genera-pr-es-nulo-y-que-la-empresa-no-tiene-experiencia/,El Vocero,https://www.elvocero.com/gobierno/agencias/nulo-el-contrato-de-genera-seg-n-informe-de-la-comisi-n-cameral-de-energ/article_43a7faaa-b7d2-11ed-bb90-bb7efd609760.html
2023-03-01,Jagual Media,Día crucial para Ángel Pérez en el Tribunal Federal ,https://jayfonseca.com/dia-crucial-para-angel-perez-en-el-tribunal-federal/,Primera Hora,https://www.primerahora.com/noticias/gobierno-politica/notas/citado-al-tribunal-federal-angel-perez-como-preambulo-al-juicio-en-su-contra/
2023-03-01,Jagual Media,Plan de Ajuste de la Deuda de la AEE queda para verano,https://jayfonseca.com/plan-de-ajuste-de-la-deuda-de-la-aee-queda-para-verano/,Noticel,https://www.noticel.com/economia/junta-fiscal/ahora/tribunales/top-stories/20230301/encaminada-para-verano-la-resolucion-de-la-quiebra-de-aee/
2023-02-28,Jagual Media,Escucha aquí el resumen de Noticias con Calle de hoy martes 28 de febrero de 2023,https://jayfonseca.com/escucha-aqui-el-resumen-de-noticias-con-calle-de-hoy-martes-28-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-28,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy martes 28 de febrero de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-martes-28-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-28,Jagual Media,Se retoma discusión sobre el Plan de Ajuste de la Deuda en la AEE con más aumentos a la vista,https://jayfonseca.com/se-retoma-discusion-sobre-el-plan-de-ajuste-de-la-deuda-en-la-aee-con-mas-aumentos-a-la-vista/,Noticel,https://www.noticel.com/economia/junta-fiscal/ahora/top-stories/20230228/la-junta-de-2017-pensaba-que-lo-que-la-junta-de-2023-propone-es-insostenible/
2023-02-28,Jagual Media,Más de 100 mil personas sufren demencia en Puerto Rico,https://jayfonseca.com/mas-de-100-mil-personas-sufren-demencia-en-puerto-rico/,Metro,https://www.metro.pr/estilo-vida/2023/02/28/mas-de-100-mil-personas-viven-con-demencia-en-puerto-rico/
2023-02-28,Jagual Media,Legislatura busca que la AEE se ponga al día con pago de pensiones antes de pagar a bonistas ,https://jayfonseca.com/legislatura-busca-que-la-aee-se-ponga-al-dia-con-pago-de-pensiones-antes-de-pagar-a-bonistas/,El Vocero,https://www.elvocero.com/gobierno/agencias/presi-n-legislativa-para-frenar-insolvencia-del-sistema-de-retiro-de-la-aee/article_4667c03c-b709-11ed-b5a1-bf83b37be704.html
2023-02-27,Cynthia López Cabán,Rechazan sea necesario otro aumento en factura para pagar a jubilados AEE,https://jayfonseca.com/rechazan-sea-necesario-otro-aumento-en-factura-para-pagar-a-jubilados-aee/,En la cuerda floja sistema de retiro de la Autoridad de Energía Eléctrica,https://www.wapa.tv/programas/losdatos/en-la-cuerda-floja-sistema-de-retiro-de-la-autoridad-de-energia-electrica_20131122547329.html
2023-02-27,Cynthia López Cabán,"Descalifican a Jorge Gordon como abogado de Tuntún, queda pendiente descalificación en caso de asesinato de empresaria de Guaynabo",https://jayfonseca.com/descalifican-a-jorge-gordon-como-abogado-de-tuntun-queda-pendiente-descalificacion-en-caso-de-asesinato-de-empresaria-de-guaynabo/,Resolución de descalificación,https://jayfonseca.com/wp-content/uploads/2023/02/descalificacion-jorge-gordon.pdf
2023-02-27,Cynthia López Cabán,Exdirector de Transporte Marítimo se declarará culpable este miércoles,https://jayfonseca.com/exdirector-de-transporte-maritimo-se-declarara-culpable-este-miercoles/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-27,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy lunes 27 de febrero de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-lunes-27-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-27,Jagual Media,Preocupa futuro de vivienda de alquiler desarrollada con fondos federales,https://jayfonseca.com/preocupa-futuro-de-vivienda-de-alquiler-desarrollada-con-fondos-federales/,El Vocero,https://www.elvocero.com/economia/otros/analizan-los-proyectos-privados-de-alquiler-a-bajo-costo/article_115517b4-b632-11ed-bccb-f375b90111c1.html
2023-02-27,Jagual Media,Deniegan posponer juicio contra Ángel Pérez,https://jayfonseca.com/deniegan-posponer-juicio-contra-angel-perez/,El Vocero,https://www.elvocero.com/ley-y-orden/federal/rechaza-cambiar-la-fecha-del-juicio-contra-ngel-p-rez/article_d859a966-b63b-11ed-8369-efc634110866.html
2023-02-27,Jagual Media,Preocupa al Alcalde impacto en el tráfico de San Juan construcción de hotel Hard Rock Café,https://jayfonseca.com/preocupa-al-alcalde-impacto-en-el-trafico-de-san-juan-construccion-de-hotel-hard-rock-cafe/,El Nuevo Día,https://www.elnuevodia.com/noticias/locales/notas/miguel-romero-esta-preocupado-por-el-impacto-que-pudiera-tener-la-construccion-del-hotel-hard-rock-en-el-trafico-del-viejo-san-juan/
2023-02-27,Jagual Media,Estadounidenses están retrasando más el matrimonio,https://jayfonseca.com/estadounidenses-estan-retrasando-mas-el-matrimonio/,Axios,https://www.axios.com/2023/02/25/marriage-declining-single-dating-taxes-relationships
2023-02-27,Jagual Media,Departamento de Energía de Estados Unidos entiende que COVID-19 se originó de fuga de laboratorio,https://jayfonseca.com/departamento-de-energia-de-estados-unidos-entiende-que-covid-19-se-origino-de-fuga-de-laboratorio/,Axios,https://www.axios.com/2023/02/27/covid-lab-leak-assessment-debate
2023-02-27,Jagual Media,Anuncia traslado de todos los animales del zoológico de Mayagüez,https://jayfonseca.com/anuncia-traslado-de-todos-los-animales-del-zoologico-de-mayaguez/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-27,Jagual Media,Rosselló iba a declarar en caso contra Sixto George ,https://jayfonseca.com/rossello-iba-a-declarar-en-caso-contra-sixto-george/,Noticel,https://www.noticel.com/tribunales/ahora/top-stories/20230227/rossello-iba-a-declarar-en-caso-sixto-george-pero-tribunal-dejo-sin-efecto-citacion/
2023-02-24,Jagual Media,Postura inconstitucional de la Junta Fiscal costará millones largos al Pueblo,https://jayfonseca.com/postura-inconstitucional-de-la-junta-fiscal-costara-millones-largos-al-pueblo/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-24,Jagual Media,Jueza ordena continuar juicio en el caso de asesinato de empresaria por su hijastra,https://jayfonseca.com/jueza-ordena-continuar-juicio-en-el-caso-de-asesinato-de-empresaria-por-su-hijastra/,El Nuevo Día,https://www.elnuevodia.com/noticias/tribunales/notas/abogados-de-los-acusados-del-asesinato-de-una-empresaria-en-los-filtros-anticipan-cambios-a-sus-estrategia-de-defensa/
2023-02-24,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy viernes 24 de febrero de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-viernes-24-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-24,Jagual Media,Radican maltrato de menores a madre por chancletear a su hijo,https://jayfonseca.com/radican-maltrato-de-menores-a-madre-por-chancletear-a-su-hijo/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-24,Jagual Media,Jefa de PRFAA dejará el cargo a final de mes,https://jayfonseca.com/jefa-de-prfaa-dejara-el-cargo-a-final-de-mes/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-24,Jagual Media,Sila Calderón endosa al alcalde de Villalba para presidir el PPD,https://jayfonseca.com/sila-calderon-endosa-al-alcalde-de-villalba-para-presidir-el-ppd/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-24,Jagual Media,Supremo manda juicio completo en caso de Elizabeth Torres,https://jayfonseca.com/supremo-manda-juicio-completo-en-caso-de-elizabeth-torres/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-24,Jagual Media,Gobernador minimiza que Luma Energy no haya utilizado gran cantidad de fondos federales,https://jayfonseca.com/gobernador-minimiza-que-luma-energy-no-haya-utilizado-gran-cantidad-de-fondos-federales/,El Vocero,https://www.elvocero.com/gobierno/fortaleza/gobernador-no-ve-problema-con-subutilizaci-n-de-fondos-federales-de-luma/article_84ade084-b3e3-11ed-ae07-5b259dd0907c.html
2023-02-23,Jagual Media,Más de 5 años de cárcel para exrepresentante Néstor Alonso,https://jayfonseca.com/mas-de-5-anos-de-carcel-para-exrepresentante-nestor-alonso/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-23,Cynthia López Cabán,Wanda Vázquez no acudirá a vista en la Cámara de Representantes,https://jayfonseca.com/wanda-vazquez-no-acudira-a-vista-en-la-camara-de-representantes/,carta de Wanda Vázquez Garced a Comisión de lo Jurídico,https://jayfonseca.com/wp-content/uploads/2023/02/Carta-WVG.pdf
2023-02-23,Jagual Media,Vea aquí el resumen de Noticias con Calle de hoy jueves 23 de febrero de 2023,https://jayfonseca.com/vea-aqui-el-resumen-de-noticias-con-calle-de-hoy-jueves-23-de-febrero-de-2023/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-23,Jagual Media,Cámara acudirá al tribunal para obligar a Wanda Vázquez a comparecer ante el cuerpo,https://jayfonseca.com/camara-acudira-al-tribunal-para-obligar-a-wanda-vazquez-a-comparecer-ante-el-cuerpo/,Jagual Media es Fuente Original,Jagual Media es Fuente Original
2023-02-23,Jagual Media,Buscan operador privado para un puerto espacial en Ceiba,https://jayfonseca.com/buscan-operador-privado-para-un-puerto-espacial-en-ceiba/,El Nuevo Día,https://www.elnuevodia.com/negocios/construccion/notas/buscan-operador-privado-para-un-puerto-espacial-en-roosevelt-roads/
2023-02-23,Jagual Media,Sin utilizar todo el presupuesto de reconstrucción por parte de Luma Energy,https://jayfonseca.com/sin-utilizar-todo-el-presupuesto-de-reconstruccion-por-parte-de-luma-energy/,El Vocero,https://www.elvocero.com/gobierno/agencias/luma-reporta-subutilizaci-n-de-fondos-federales-para-reconstrucci-n/article_f3914602-b31c-11ed-b031-0fb33a59b09d.html
2023-02-23,Jagual Media,Sin dinero para operar los eventos electorales la CEE,https://jayfonseca.com/sin-dinero-para-operar-los-eventos-electorales-la-cee/,El Nuevo Día,https://www.elnuevodia.com/noticias/politica/notas/sin-fondos-la-cee-para-los-proximos-eventos-electorales/
2023-02-23,Jagual Media,Junta Fiscal se opone a beneficio contributivo a residentes en la isla que compraron Bonos de Puerto Rico,https://jayfonseca.com/junta-fiscal-se-opone-a-beneficio-contributivo-a-residentes-en-la-isla-que-compraron-bonos-de-puerto-rico/,El Nuevo Día,https://www.elnuevodia.com/negocios/economia/notas/el-alivio-a-los-bonistas-se-desinfla/
